product,num_complaints
"Credit reporting, credit repair services, or other personal consumer reports",1714173
Debt collection,473071
Mortgage,373639
Credit card or prepaid card,180982
Checking or savings account,158988
Credit reporting,140429
Credit card,89190
Bank account or service,86205
Student loan,73648
"Money transfer, virtual currency, or money service",52280
Vehicle loan or lease,41625
Consumer Loan,31576
"Payday loan, title loan, or personal loan",27310
Payday loan,5541
Money transfers,5354
Prepaid card,3819
Other financial service,1058
Virtual currency,18
